owner_type,repository,month,state
Organization,robotont/robotont_driver,2021-01,Running
Organization,robotont/robotont_driver,2021-02,Running
Organization,robotont/robotont_driver,2021-03,Dead
Organization,robotont/robotont_driver,2021-04,Dead
Organization,robotont/robotont_driver,2021-05,Zombie
Organization,robotont/robotont_driver,2021-06,Dead
Organization,robotont/robotont_driver,2021-07,Dead
Organization,robotont/robotont_driver,2021-08,Dead
Organization,robotont/robotont_driver,2021-09,Dead
Organization,robotont/robotont_driver,2021-10,Running
Organization,robotont/robotont_driver,2021-11,Zombie
Organization,robotont/robotont_driver,2021-12,Dead
Organization,robotont/robotont_driver,2022-01,Dead
Organization,robotont/robotont_driver,2022-02,Dead
Organization,robotont/robotont_driver,2022-03,Running
Organization,robotont/robotont_driver,2022-04,Running
Organization,robotont/robotont_driver,2022-05,Dead
Organization,robotont/robotont_driver,2022-06,Dead
Organization,robotont/robotont_driver,2022-07,Dead
Organization,robotont/robotont_driver,2022-08,Dead
Organization,robotont/robotont_driver,2022-09,Dead
Organization,robotont/robotont_driver,2022-10,Dead
Organization,robotont/robotont_driver,2022-11,Dead
Organization,robotont/robotont_driver,2022-12,Dead
Organization,robotont/robotont_driver,2023-01,Dead
Organization,robotont/robotont_driver,2023-02,Running
Organization,robotont/robotont_driver,2023-03,Running
Organization,robotont/robotont_driver,2023-04,Running
Organization,robotont/robotont_driver,2023-05,Running
Organization,robotont/robotont_driver,2023-06,Running
Organization,robotont/robotont_driver,2023-07,Dead
Organization,robotont/robotont_driver,2023-08,Running
Organization,robotont/robotont_driver,2023-09,Dead
Organization,robotont/robotont_driver,2023-10,Running
Organization,robotont/robotont_driver,2023-11,Running
Organization,robotont/robotont_driver,2023-12,Running
Organization,robotont/robotont_driver,2024-01,Dead
Organization,robotont/robotont_driver,2024-02,Running
Organization,robotont/robotont_driver,2024-03,Running
Organization,robotont/robotont_driver,2024-04,Running
Organization,robotont/robotont_driver,2024-05,Running
Organization,robotont/robotont_driver,2024-06,Dead
Organization,robotont/robotont_driver,2024-07,Dead
Organization,robotont/robotont_driver,2024-08,Dead
Organization,robotont/robotont_driver,2024-09,Running
Organization,robotont/robotont_driver,2024-10,Dead
Organization,robotont/robotont_driver,2024-11,Dead
Organization,robotont/robotont_driver,2024-12,Running
Organization,robotont/robotont_driver,2025-01,Dead
Organization,robotont/robotont_driver,2025-02,Dead
Organization,robotont/robotont_driver,2025-03,Running
Organization,robotont/robotont_driver,2025-04,Dead
Organization,robotont/robotont_driver,2025-05,Dead
Organization,robotont/robotont_driver,2025-06,Dead
Organization,robotont/robotont_driver,2025-07,Dead
Organization,robotont/robotont_driver,2025-08,Dead
Organization,robotont/robotont_driver,2025-09,Running
Organization,robotont/robotont_driver,2025-10,Dead
Organization,robotont/robotont_driver,2025-11,Dead
Organization,robotont/robotont_driver,2025-12,Running
Organization,robotont/robotont_driver,2026-01,Running
Organization,robotont/robotont_driver,2026-02,Running
Organization,robotont/robotont_driver,2026-03,Dead
Organization,robotraconteur/robotraconteur,2018-09,Running
Organization,robotraconteur/robotraconteur,2018-10,Dead
Organization,robotraconteur/robotraconteur,2018-11,Running
Organization,robotraconteur/robotraconteur,2018-12,Running
Organization,robotraconteur/robotraconteur,2019-01,Running
Organization,robotraconteur/robotraconteur,2019-02,Running
Organization,robotraconteur/robotraconteur,2019-03,Running
Organization,robotraconteur/robotraconteur,2019-04,Running
Organization,robotraconteur/robotraconteur,2019-05,Running
Organization,robotraconteur/robotraconteur,2019-06,Running
Organization,robotraconteur/robotraconteur,2019-07,Running
Organization,robotraconteur/robotraconteur,2019-08,Running
Organization,robotraconteur/robotraconteur,2019-09,Running
Organization,robotraconteur/robotraconteur,2019-10,Running
Organization,robotraconteur/robotraconteur,2019-11,Running
Organization,robotraconteur/robotraconteur,2019-12,Running
Organization,robotraconteur/robotraconteur,2020-01,Running
Organization,robotraconteur/robotraconteur,2020-02,Running
Organization,robotraconteur/robotraconteur,2020-03,Running
Organization,robotraconteur/robotraconteur,2020-04,Running
Organization,robotraconteur/robotraconteur,2020-05,Running
Organization,robotraconteur/robotraconteur,2020-06,Running
Organization,robotraconteur/robotraconteur,2020-07,Running
Organization,robotraconteur/robotraconteur,2020-08,Running
Organization,robotraconteur/robotraconteur,2020-09,Running
Organization,robotraconteur/robotraconteur,2020-10,Running
Organization,robotraconteur/robotraconteur,2020-11,Running
Organization,robotraconteur/robotraconteur,2020-12,Running
Organization,robotraconteur/robotraconteur,2021-01,Dead
Organization,robotraconteur/robotraconteur,2021-02,Running
Organization,robotraconteur/robotraconteur,2021-03,Running
Organization,robotraconteur/robotraconteur,2021-04,Running
Organization,robotraconteur/robotraconteur,2021-05,Dead
Organization,robotraconteur/robotraconteur,2021-06,Dead
Organization,robotraconteur/robotraconteur,2021-07,Dead
Organization,robotraconteur/robotraconteur,2021-08,Zombie
Organization,robotraconteur/robotraconteur,2021-09,Running
Organization,robotraconteur/robotraconteur,2021-10,Running
Organization,robotraconteur/robotraconteur,2021-11,Dead
Organization,robotraconteur/robotraconteur,2021-12,Running
Organization,robotraconteur/robotraconteur,2022-01,Dead
Organization,robotraconteur/robotraconteur,2022-02,Dead
Organization,robotraconteur/robotraconteur,2022-03,Dead
Organization,robotraconteur/robotraconteur,2022-04,Running
Organization,robotraconteur/robotraconteur,2022-05,Running
Organization,robotraconteur/robotraconteur,2022-06,Running
Organization,robotraconteur/robotraconteur,2022-07,Running
Organization,robotraconteur/robotraconteur,2022-08,Dead
Organization,robotraconteur/robotraconteur,2022-09,Dead
Organization,robotraconteur/robotraconteur,2022-10,Running
Organization,robotraconteur/robotraconteur,2022-11,Dead
Organization,robotraconteur/robotraconteur,2022-12,Running
Organization,robotraconteur/robotraconteur,2023-01,Running
Organization,robotraconteur/robotraconteur,2023-02,Running
Organization,robotraconteur/robotraconteur,2023-03,Running
Organization,robotraconteur/robotraconteur,2023-04,Zombie
Organization,robotraconteur/robotraconteur,2023-05,Running
Organization,robotraconteur/robotraconteur,2023-06,Running
Organization,robotraconteur/robotraconteur,2023-07,Running
Organization,robotraconteur/robotraconteur,2023-08,Zombie
Organization,robotraconteur/robotraconteur,2023-09,Running
Organization,robotraconteur/robotraconteur,2023-10,Dead
Organization,robotraconteur/robotraconteur,2023-11,Running
