repository,path,final_state,is_alive,first_month,last_activity_month,lifespan_months
Chroma-CITI/namosim,Running(2m)-Dead(3m)-Running(8m)-Dead(1m)-Running(1m)-Dead(2m)-Running(9m)-Dead(1m)-Running(4m)-Dead(7m)-Running(2m)-Dead(4m)-Running(2m)-Dead(4m)-Running(1m)-Dead(1m)-Running(1m)-Dead(2m)-Running(5m)-Dead(9m)-Running(10m)-Dead(5m),Dead,True,2019-04,2025-10,84
DFKI-NI/mir_robot,Running(1m)-Dead(6m)-Running(1m)-Dead(1m)-Running(1m)-Dead(5m)-Running(13m)-Zombie(2m)-Running(2m)-Zombie(1m)-Running(5m)-Zombie(1m)-Running(8m)-Zombie(1m)-Running(2m)-Zombie(1m)-Running(2m)-Zombie(1m)-Running(1m)-Zombie(1m)-Running(9m)-Zombie(1m)-Dead(1m)-Running(5m)-Zombie(1m)-Running(1m)-Zombie(2m)-Running(2m)-Dead(1m)-Zombie(1m)-Dead(1m)-Zombie(4m)-Running(3m)-Zombie(1m)-Dead(1m)-Zombie(1m)-Running(1m)-Dead(1m)-Running(1m)-Dead(1m)-Zombie(1m)-Dead(2m)-Zombie(1m)-Running(2m)-Dead(3m)-Zombie(2m)-Dead(4m),Dead,True,2017-02,2025-11,110
DFKI-NI/rospy_message_converter,Running(4m)-Dead(2m)-Running(1m)-Dead(8m)-Zombie(2m)-Dead(16m)-Running(3m)-Zombie(1m)-Dead(3m)-Running(2m)-Zombie(1m)-Dead(1m)-Zombie(1m)-Running(1m)-Dead(4m)-Zombie(2m)-Running(1m)-Zombie(3m)-Dead(2m)-Running(1m)-Dead(2m)-Running(1m)-Dead(2m)-Zombie(1m)-Dead(1m)-Zombie(2m)-Dead(2m)-Zombie(2m)-Running(1m)-Zombie(1m)-Dead(2m)-Running(1m)-Dead(1m)-Zombie(2m)-Dead(4m)-Zombie(1m)-Running(4m)-Zombie(1m)-Running(2m)-Zombie(1m)-Running(3m)-Dead(2m)-Running(1m)-Dead(2m)-Zombie(3m)-Running(1m)-Zombie(1m)-Running(1m)-Zombie(1m)-Dead(2m)-Running(1m)-Zombie(1m)-Running(1m)-Dead(1m)-Zombie(1m)-Dead(1m)-Running(1m)-Zombie(2m)-Running(1m)-Dead(3m)-Zombie(2m)-Dead(5m)-Zombie(1m)-Dead(4m)-Running(1m)-Dead(12m)-Zombie(1m)-Dead(1m)-Zombie(1m)-Dead(6m)-Running(1m)-Dead(1m),Dead,True,2013-01,2026-02,159
DLu/simple_actions,Running(1m)-Dead(2m)-Zombie(4m)-Running(1m)-Zombie(2m)-Dead(3m)-Running(1m)-Dead(3m)-Zombie(1m)-Dead(4m)-Zombie(1m)-Running(2m)-Zombie(1m)-Running(1m)-Dead(14m)-Zombie(1m)-Running(1m)-Dead(1m),Dead,True,2022-08,2026-02,44
DLu/tf_transformations,Running(1m)-Dead(4m)-Zombie(2m)-Dead(1m)-Running(1m)-Zombie(1m)-Running(1m)-Zombie(1m)-Dead(4m)-Zombie(1m)-Dead(7m)-Zombie(1m)-Dead(1m)-Zombie(1m)-Dead(1m)-Zombie(1m)-Running(1m)-Dead(1m)-Running(2m)-Dead(3m)-Running(1m)-Dead(1m)-Running(1m)-Dead(4m)-Zombie(2m)-Dead(2m)-Zombie(1m)-Dead(2m)-Zombie(1m)-Dead(4m)-Running(2m)-Dead(1m),Dead,True,2021-06,2026-02,58
EasyNavigation/EasyNavigation,Running(3m)-Zombie(1m)-Running(7m)-Zombie(1m),Zombie,True,2025-04,2026-03,12
Ekumen-OS/andino,Running(1m)-Dead(1m)-Zombie(4m)-Dead(1m)-Running(16m)-Zombie(1m)-Running(1m)-Zombie(1m)-Running(1m)-Dead(3m)-Running(2m)-Zombie(1m)-Dead(1m)-Zombie(2m)-Dead(1m)-Zombie(2m)-Running(1m)-Dead(1m),Dead,True,2022-11,2026-02,41
Ekumen-OS/andino_gz,Running(3m)-Dead(2m)-Running(2m)-Dead(1m)-Running(5m)-Zombie(2m)-Running(1m)-Zombie(3m)-Running(1m)-Dead(1m)-Running(2m)-Dead(1m)-Running(2m)-Dead(6m),Dead,True,2023-08,2025-09,32
Ekumen-OS/beluga,Running(25m)-Zombie(1m)-Running(5m)-Zombie(2m)-Running(3m)-Zombie(1m)-Running(4m)-Dead(1m),Dead,True,2022-10,2026-02,42
Fields2Cover/Fields2Cover,Running(6m)-Zombie(1m)-Running(12m)-Zombie(2m)-Running(7m)-Zombie(1m)-Running(1m)-Zombie(3m)-Running(2m)-Zombie(2m)-Dead(1m)-Zombie(1m)-Running(1m)-Dead(3m)-Running(1m)-Dead(2m),Dead,True,2022-06,2026-01,46
