ros_distro,package,rosdistro_repo_key,repo_url,repo_url_type,github_owner,github_repo,resolved,resolved_via
kilted,rqt_bag,rqt_bag,https://github.com/ros-visualization/rqt_bag.git,source,ros-visualization,rqt_bag,True,rosdistro_release_packages
kilted,rqt_bag_plugins,rqt_bag,https://github.com/ros-visualization/rqt_bag.git,source,ros-visualization,rqt_bag,True,rosdistro_release_packages
kilted,rqt_common_plugins,rqt_common_plugins,https://github.com/ros-visualization/rqt_common_plugins.git,source,ros-visualization,rqt_common_plugins,True,rosdistro_release_packages
kilted,rqt_console,rqt_console,https://github.com/ros-visualization/rqt_console.git,source,ros-visualization,rqt_console,True,rosdistro_release_packages
kilted,rqt_controller_manager,ros2_control,https://github.com/ros-controls/ros2_control.git,source,ros-controls,ros2_control,True,rosdistro_release_packages
kilted,rqt_dotgraph,rqt_dotgraph,https://github.com/niwcpac/rqt_dotgraph.git,source,niwcpac,rqt_dotgraph,True,rosdistro_release_packages
kilted,rqt_gauges,rqt_gauges,https://github.com/ToyotaResearchInstitute/gauges2.git,source,ToyotaResearchInstitute,gauges2,True,rosdistro_release_packages
kilted,rqt_graph,rqt_graph,https://github.com/ros-visualization/rqt_graph.git,source,ros-visualization,rqt_graph,True,rosdistro_release_packages
kilted,rqt_gui,rqt,https://github.com/ros-visualization/rqt.git,source,ros-visualization,rqt,True,rosdistro_release_packages
kilted,rqt_gui_cpp,rqt,https://github.com/ros-visualization/rqt.git,source,ros-visualization,rqt,True,rosdistro_release_packages
kilted,rqt_gui_py,rqt,https://github.com/ros-visualization/rqt.git,source,ros-visualization,rqt,True,rosdistro_release_packages
kilted,rqt_image_overlay,rqt_image_overlay,https://github.com/ros-sports/rqt_image_overlay.git,source,ros-sports,rqt_image_overlay,True,rosdistro_release_packages
kilted,rqt_image_overlay_layer,rqt_image_overlay,https://github.com/ros-sports/rqt_image_overlay.git,source,ros-sports,rqt_image_overlay,True,rosdistro_release_packages
kilted,rqt_image_view,rqt_image_view,https://github.com/ros-visualization/rqt_image_view.git,source,ros-visualization,rqt_image_view,True,rosdistro_release_packages
kilted,rqt_joint_trajectory_controller,ros2_controllers,https://github.com/ros-controls/ros2_controllers.git,source,ros-controls,ros2_controllers,True,rosdistro_release_packages
kilted,rqt_moveit,rqt_moveit,https://github.com/ros-visualization/rqt_moveit.git,source,ros-visualization,rqt_moveit,True,rosdistro_release_packages
kilted,rqt_msg,rqt_msg,https://github.com/ros-visualization/rqt_msg.git,source,ros-visualization,rqt_msg,True,rosdistro_release_packages
kilted,rqt_play_motion_builder,play_motion_builder,https://github.com/pal-robotics/play_motion_builder.git,source,pal-robotics,play_motion_builder,True,rosdistro_release_packages
kilted,rqt_plot,rqt_plot,https://github.com/ros-visualization/rqt_plot.git,source,ros-visualization,rqt_plot,True,rosdistro_release_packages
kilted,rqt_publisher,rqt_publisher,https://github.com/ros-visualization/rqt_publisher.git,source,ros-visualization,rqt_publisher,True,rosdistro_release_packages
kilted,rqt_py_common,rqt,https://github.com/ros-visualization/rqt.git,source,ros-visualization,rqt,True,rosdistro_release_packages
kilted,rqt_py_console,rqt_py_console,https://github.com/ros-visualization/rqt_py_console.git,source,ros-visualization,rqt_py_console,True,rosdistro_release_packages
kilted,rqt_reconfigure,rqt_reconfigure,https://github.com/ros-visualization/rqt_reconfigure.git,source,ros-visualization,rqt_reconfigure,True,rosdistro_release_packages
kilted,rqt_robot_dashboard,rqt_robot_dashboard,https://github.com/ros-visualization/rqt_robot_dashboard.git,source,ros-visualization,rqt_robot_dashboard,True,rosdistro_release_packages
kilted,rqt_robot_monitor,rqt_robot_monitor,https://github.com/ros-visualization/rqt_robot_monitor.git,source,ros-visualization,rqt_robot_monitor,True,rosdistro_release_packages
kilted,rqt_robot_steering,rqt_robot_steering,https://github.com/ros-visualization/rqt_robot_steering.git,source,ros-visualization,rqt_robot_steering,True,rosdistro_release_packages
kilted,rqt_runtime_monitor,rqt_runtime_monitor,https://github.com/ros-visualization/rqt_runtime_monitor.git,source,ros-visualization,rqt_runtime_monitor,True,rosdistro_release_packages
kilted,rqt_service_caller,rqt_service_caller,https://github.com/ros-visualization/rqt_service_caller.git,source,ros-visualization,rqt_service_caller,True,rosdistro_release_packages
kilted,rqt_shell,rqt_shell,https://github.com/ros-visualization/rqt_shell.git,source,ros-visualization,rqt_shell,True,rosdistro_release_packages
kilted,rqt_srv,rqt_srv,https://github.com/ros-visualization/rqt_srv.git,source,ros-visualization,rqt_srv,True,rosdistro_release_packages
kilted,rqt_tf_tree,rqt_tf_tree,https://github.com/ros-visualization/rqt_tf_tree.git,source,ros-visualization,rqt_tf_tree,True,rosdistro_release_packages
kilted,rqt_topic,rqt_topic,https://github.com/ros-visualization/rqt_topic.git,source,ros-visualization,rqt_topic,True,rosdistro_release_packages
kilted,rsl,rsl,https://github.com/PickNikRobotics/RSL.git,source,PickNikRobotics,RSL,True,rosdistro_release_packages
kilted,rslidar_msg,rslidar_msg,https://github.com/RoboSense-LiDAR/rslidar_msg.git,source,RoboSense-LiDAR,rslidar_msg,True,rosdistro_release_packages
kilted,rt_manipulators_cpp,rt_manipulators_cpp,https://github.com/rt-net/rt_manipulators_cpp.git,source,rt-net,rt_manipulators_cpp,True,rosdistro_release_packages
kilted,rt_manipulators_examples,rt_manipulators_cpp,https://github.com/rt-net/rt_manipulators_cpp.git,source,rt-net,rt_manipulators_cpp,True,rosdistro_release_packages
kilted,rt_usb_9axisimu_driver,rt_usb_9axisimu_driver,https://github.com/rt-net/rt_usb_9axisimu_driver.git,source,rt-net,rt_usb_9axisimu_driver,True,rosdistro_release_packages
kilted,rtabmap,rtabmap,https://github.com/introlab/rtabmap.git,source,introlab,rtabmap,True,rosdistro_release_packages
kilted,rtabmap_conversions,rtabmap_ros,https://github.com/introlab/rtabmap_ros.git,source,introlab,rtabmap_ros,True,rosdistro_release_packages
kilted,rtabmap_demos,rtabmap_ros,https://github.com/introlab/rtabmap_ros.git,source,introlab,rtabmap_ros,True,rosdistro_release_packages
kilted,rtabmap_examples,rtabmap_ros,https://github.com/introlab/rtabmap_ros.git,source,introlab,rtabmap_ros,True,rosdistro_release_packages
kilted,rtabmap_launch,rtabmap_ros,https://github.com/introlab/rtabmap_ros.git,source,introlab,rtabmap_ros,True,rosdistro_release_packages
kilted,rtabmap_msgs,rtabmap_ros,https://github.com/introlab/rtabmap_ros.git,source,introlab,rtabmap_ros,True,rosdistro_release_packages
kilted,rtabmap_odom,rtabmap_ros,https://github.com/introlab/rtabmap_ros.git,source,introlab,rtabmap_ros,True,rosdistro_release_packages
kilted,rtabmap_python,rtabmap_ros,https://github.com/introlab/rtabmap_ros.git,source,introlab,rtabmap_ros,True,rosdistro_release_packages
kilted,rtabmap_ros,rtabmap_ros,https://github.com/introlab/rtabmap_ros.git,source,introlab,rtabmap_ros,True,rosdistro_release_packages
kilted,rtabmap_rviz_plugins,rtabmap_ros,https://github.com/introlab/rtabmap_ros.git,source,introlab,rtabmap_ros,True,rosdistro_release_packages
kilted,rtabmap_slam,rtabmap_ros,https://github.com/introlab/rtabmap_ros.git,source,introlab,rtabmap_ros,True,rosdistro_release_packages
kilted,rtabmap_sync,rtabmap_ros,https://github.com/introlab/rtabmap_ros.git,source,introlab,rtabmap_ros,True,rosdistro_release_packages
kilted,rtabmap_util,rtabmap_ros,https://github.com/introlab/rtabmap_ros.git,source,introlab,rtabmap_ros,True,rosdistro_release_packages
kilted,rtabmap_viz,rtabmap_ros,https://github.com/introlab/rtabmap_ros.git,source,introlab,rtabmap_ros,True,rosdistro_release_packages
kilted,rtcm_msgs,rtcm_msgs,https://github.com/tilk/rtcm_msgs.git,source,tilk,rtcm_msgs,True,rosdistro_release_packages
kilted,rtest,rtest,https://github.com/Beam-and-Spyrosoft/rtest.git,source,Beam-and-Spyrosoft,rtest,True,rosdistro_release_packages
kilted,rti_connext_dds_cmake_module,rmw_connextdds,https://github.com/ros2/rmw_connextdds.git,source,ros2,rmw_connextdds,True,rosdistro_release_packages
kilted,rttest,realtime_support,https://github.com/ros2/realtime_support.git,source,ros2,realtime_support,True,rosdistro_release_packages
kilted,ruckig,ruckig,https://github.com/pantor/ruckig.git,source,pantor,ruckig,True,rosdistro_release_packages
kilted,rviz2,rviz,https://github.com/ros2/rviz.git,source,ros2,rviz,True,rosdistro_release_packages
kilted,rviz_2d_overlay_msgs,rviz_2d_overlay_plugins,https://github.com/teamspatzenhirn/rviz_2d_overlay_plugins.git,source,teamspatzenhirn,rviz_2d_overlay_plugins,True,rosdistro_release_packages
kilted,rviz_2d_overlay_plugins,rviz_2d_overlay_plugins,https://github.com/teamspatzenhirn/rviz_2d_overlay_plugins.git,source,teamspatzenhirn,rviz_2d_overlay_plugins,True,rosdistro_release_packages
kilted,rviz_assimp_vendor,rviz,https://github.com/ros2/rviz.git,source,ros2,rviz,True,rosdistro_release_packages
kilted,rviz_common,rviz,https://github.com/ros2/rviz.git,source,ros2,rviz,True,rosdistro_release_packages
kilted,rviz_default_plugins,rviz,https://github.com/ros2/rviz.git,source,ros2,rviz,True,rosdistro_release_packages
kilted,rviz_imu_plugin,imu_tools,https://github.com/CCNYRoboticsLab/imu_tools.git,source,CCNYRoboticsLab,imu_tools,True,rosdistro_release_packages
kilted,rviz_marker_tools,moveit_task_constructor,https://github.com/moveit/moveit_task_constructor.git,source,moveit,moveit_task_constructor,True,rosdistro_release_packages
kilted,rviz_ogre_vendor,rviz,https://github.com/ros2/rviz.git,source,ros2,rviz,True,rosdistro_release_packages
kilted,rviz_rendering,rviz,https://github.com/ros2/rviz.git,source,ros2,rviz,True,rosdistro_release_packages
kilted,rviz_rendering_tests,rviz,https://github.com/ros2/rviz.git,source,ros2,rviz,True,rosdistro_release_packages
kilted,rviz_resource_interfaces,rviz,https://github.com/ros2/rviz.git,source,ros2,rviz,True,rosdistro_release_packages
kilted,rviz_satellite,rviz_satellite,https://github.com/nobleo/rviz_satellite.git,source,nobleo,rviz_satellite,True,rosdistro_release_packages
kilted,rviz_visual_testing_framework,rviz,https://github.com/ros2/rviz.git,source,ros2,rviz,True,rosdistro_release_packages
kilted,rviz_visual_tools,rviz_visual_tools,https://github.com/PickNikRobotics/rviz_visual_tools.git,source,PickNikRobotics,rviz_visual_tools,True,rosdistro_release_packages
kilted,sbg_driver,sbg_driver,https://github.com/SBG-Systems/sbg_ros2.git,source,SBG-Systems,sbg_ros2,True,rosdistro_release_packages
kilted,sdformat_test_files,sdformat_urdf,https://github.com/ros/sdformat_urdf.git,source,ros,sdformat_urdf,True,rosdistro_release_packages
