Name,Owner,Description,GitHub URL,Repository Size,Number of stars,Number of forks,Number of open issues,List of topics,License,has_readme,has_contributing,has_code_of_conduct,has_pr_template,has_issue_template,has_newcomer_labels,found_newcomer_labels,contributors_count,commits_count,first_contributor_date,first_commit_files_changed,first_commit_additions,first_commit_deletions,first_commit_language,owner_type,size,subscribers_count,watchers_count,languages,Number of pull requests open,Number of pull requests merged,Number of pull requests closed,Number of issues open,Number of issues closed,Average time to close a pull request (days),Average time to close an issue (days),Average number of commits per month,Average number of newcomers per month,Average number of forks per month,Average number of stars per month,Size of README (KB),Size of CONTRIBUTING (KB),Size of CODE_OF_CONDUCT (KB),Repository age (months),full_name,distros_present,exclusion_reasons
aruco_markers,namo-robotics,,https://github.com/namo-robotics/aruco_markers,96,4,2,1,,MIT,True,False,False,False,False,True,good first issue,1,35,2025-01-13T13:16:59Z,2,22,0,docs,Organization,96,1,4,C++;CMake;Dockerfile;Shell,0,1,4,1,1,16.65,0.01,2.5,0.14,0.14,0.29,2.04,0.0,0.0,14,namo-robotics/aruco_markers,humble|jazzy|kilted,
ros_aruco_opencv,fictionlab,ROS wrapper for ArUco Opencv module,https://github.com/fictionlab/ros_aruco_opencv,202,29,27,0,,MIT,True,False,False,False,False,True,good first issue,3,88,2022-07-06T12:20:32Z,1,2,0,docs,Organization,202,3,29,C++;Python;CMake,0,54,54,0,9,0.24,152.47,2.0,0.07,0.61,0.66,3.23,0.0,0.0,44,fictionlab/ros_aruco_opencv,humble|jazzy|kilted,
autoware_adapi_msgs,autowarefoundation,The Autoware AD API interfaces,https://github.com/autowarefoundation/autoware_adapi_msgs,152,6,33,4,,Apache-2.0,True,True,True,True,False,True,good first issue,19,91,2022-09-14T07:55:34Z,1,1,0,docs,Organization,152,6,6,CMake,3,87,102,1,2,37.81,2.1,2.17,0.45,0.79,0.14,0.2,0.1,5.36,42,autowarefoundation/autoware_adapi_msgs,humble|jazzy|kilted,
autoware_cmake,autowarefoundation,CMake packages for working with Autoware,https://github.com/autowarefoundation/autoware_cmake,75,2,21,8,,Apache-2.0,False,True,True,True,False,True,good first issue,13,49,2021-12-16T11:27:03Z,3,80,0,docs,Organization,75,3,2,CMake,6,25,30,2,1,4.15,0.11,2.13,0.57,0.91,0.09,0.0,0.1,5.36,23,autowarefoundation/autoware_cmake,humble|jazzy|kilted,
autoware_lanelet2_extension,autowarefoundation,Extension library of Lanelet2,https://github.com/autowarefoundation/autoware_lanelet2_extension,826,5,35,8,,Apache-2.0,False,True,True,True,False,True,good first issue,44,153,2022-08-03T13:20:22Z,46,6897,0,code,Organization,826,7,5,C++;Python;CMake,8,83,92,0,3,20.0,193.98,6.65,1.91,1.52,0.22,0.0,0.1,5.36,23,autowarefoundation/autoware_lanelet2_extension,humble|jazzy|kilted,
metro_nav,MetroRobots,Awesome ROS packages to complement Navigation2,https://github.com/MetroRobots/metro_nav,41,0,0,0,,BSD-3-Clause,True,False,False,False,False,True,good first issue,2,13,2023-08-23T20:17:04Z,2,30,0,docs,Organization,41,1,0,C++;Python;CMake,0,6,6,0,1,94.21,1.08,0.42,0.06,0.0,0.0,0.06,0.0,0.0,31,MetroRobots/metro_nav,humble,
locator_ros_bridge,boschglobal,ROS interface to Rexroth ROKIT Locator,https://github.com/boschglobal/rokit_ros_bridge,386,8,12,1,,Apache-2.0,True,True,False,False,False,True,good first issue,5,161,2021-04-22T11:17:30Z,38,4718,0,code,Organization,386,3,8,C++;CMake;Python,0,55,59,1,18,7.1,49.47,2.73,0.08,0.2,0.14,4.91,4.75,0.0,59,boschglobal/rokit_ros_bridge,humble,
rosbag2_broll,ros-tooling,B-Roll: Libraries and plugins for handling video data in rosbag2,https://github.com/ros-tooling/rosbag2_broll,1151,2,1,7,,Apache-2.0,True,False,False,False,False,True,good first issue,2,26,2023-10-18T16:23:00Z,2,203,0,docs,Organization,1151,0,2,C++;CMake,1,3,3,6,0,0.02,,1.86,0.14,0.07,0.14,5.87,0.0,0.0,14,ros-tooling/rosbag2_broll,humble|jazzy|kilted,
camera_aravis2,FraunhoferIOSB,ROS2 camera driver for GenICam-based GigEVision and USB3Vision cameras.,https://github.com/FraunhoferIOSB/camera_aravis2,396,41,6,16,,BSD-3-Clause,True,True,False,False,False,False,,3,100,2022-06-10T13:48:17Z,2,555,0,config,Organization,396,6,41,C++;CMake;Python,0,10,12,16,34,90.69,61.64,2.22,0.07,0.13,0.91,25.52,2.51,0.0,45,FraunhoferIOSB/camera_aravis2,humble|jazzy|kilted,
caret_trace,tier4,Library to add tracepoints for CARET,https://github.com/tier4/caret_trace,499,8,11,4,,Apache-2.0,True,True,False,True,True,True,good first issue,16,321,2021-07-10T02:55:05Z,1,0,0,docs,Organization,499,47,8,C++;C;CMake,3,292,320,1,0,7.78,,5.94,0.3,0.2,0.15,0.05,0.9,0.0,54,tier4/caret_trace,humble,
clearpath_msgs,clearpathrobotics,,https://github.com/clearpathrobotics/clearpath_msgs,363,2,11,0,,BSD-3-Clause,True,False,False,False,False,True,good first issue,4,98,2023-01-09T17:45:31Z,1,1,0,docs,Organization,363,4,2,CMake,0,81,85,0,1,6.33,0.2,2.58,0.11,0.29,0.05,0.02,0.0,0.0,38,clearpathrobotics/clearpath_msgs,humble|jazzy,
cloudini,facontidavide,Pointcloud compression library,https://github.com/facontidavide/cloudini,3270,495,28,3,,Apache-2.0,True,False,False,False,False,True,good first issue,13,220,2025-05-04T18:20:33Z,15,2060,0,code,User,3270,6,495,C++;CMake;Python;JavaScript;CSS;TypeScript;HTML,0,38,51,3,19,5.19,18.62,22.0,1.3,2.8,49.5,7.03,0.0,0.0,10,facontidavide/cloudini,humble|jazzy|kilted,
